ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,19950316,3.4439,3.5009,3.4194,3.5009,3.4439,0.05699999999999994,1.6551,1265.0,534.797
000519.SZ,19950315,3.566,3.566,3.1752,3.4439,3.5741,-0.13019999999999987,-3.6429,3037.0,1275.72
000519.SZ,19950314,3.623,3.623,3.566,3.5741,3.5904,-0.01629999999999976,-0.454,1812.0,799.763
000519.SZ,19950313,3.5823,3.7044,3.5823,3.5904,3.5823,0.008099999999999774,0.2261,2175.0,969.008
000519.SZ,19950310,3.6963,3.7125,3.5497,3.5823,3.6963,-0.11399999999999988,-3.0842,3549.0,1573.427
000519.SZ,19950309,3.7858,3.8509,3.6637,3.6963,3.8509,-0.1546000000000003,-4.0146,4652.0,2163.941
000519.SZ,19950308,3.8672,3.9079,3.7532,3.8509,3.8672,-0.01629999999999976,-0.4215,10420.0,4939.411
000519.SZ,19950307,3.7451,3.9079,3.5009,3.8672,3.6637,0.20350000000000001,5.5545,14675.0,6708.493
000519.SZ,19950306,3.6474,3.6637,3.5009,3.6637,3.4764,0.18730000000000002,5.3878,6408.0,2810.972
000519.SZ,19950303,3.4113,3.5823,3.3787,3.4764,3.4032,0.07319999999999993,2.1509,3569.0,1528.827
000519.SZ,19950302,3.4194,3.4357,3.3787,3.4032,3.4194,-0.016199999999999992,-0.4738,1788.0,746.862
000519.SZ,19950301,3.3625,3.4357,3.3543,3.4194,3.3625,0.05690000000000017,1.6922,1980.0,826.459
000519.SZ,19950228,3.4113,3.4194,3.3217,3.3625,3.4113,-0.0488000000000004,-1.4305,2286.0,941.0
000519.SZ,19950227,3.5416,3.7044,3.3869,3.4113,3.3869,0.02440000000000042,0.7204,5249.0,2278.632
000519.SZ,19950224,3.7044,3.7044,3.3787,3.3869,3.6637,-0.27680000000000016,-7.5552,5866.0,2499.683
000519.SZ,19950223,3.6637,3.8265,3.4194,3.6637,3.7044,-0.04070000000000018,-1.0987,12238.0,5437.325
000519.SZ,19950222,3.0856,3.9324,3.0856,3.7044,3.0938,0.6106000000000003,19.7362,6403.0,2751.45
000519.SZ,19950221,3.1019,3.1019,3.0124,3.0938,3.0775,0.01629999999999976,0.5297,254.0,96.081
000519.SZ,19950220,3.0775,3.1019,3.0775,3.0775,3.0856,-0.008099999999999774,-0.2625,519.0,196.91
000519.SZ,19950217,3.0531,3.0856,3.0449,3.0856,3.0368,0.048799999999999955,1.607,599.0,224.616
000519.SZ,19950216,3.0531,3.0694,3.0368,3.0368,3.0612,-0.024399999999999977,-0.7971,643.0,240.707
000519.SZ,19950215,3.0531,3.0694,3.0531,3.0612,3.0694,-0.008199999999999985,-0.2672,699.0,262.487
000519.SZ,19950214,3.1101,3.1101,3.0368,3.0694,3.1101,-0.04070000000000018,-1.3086,603.0,227.508
000519.SZ,19950213,3.0368,3.1345,3.0124,3.1101,3.1671,-0.05699999999999994,-1.7998,930.0,354.042
000519.SZ,19950127,3.1345,3.2078,3.1345,3.1671,3.1508,0.016300000000000203,0.5173,2034.0,791.633
000519.SZ,19950126,3.1833,3.1833,3.1182,3.1508,3.1589,-0.008100000000000218,-0.2564,2077.0,802.072
000519.SZ,19950125,3.1996,3.1996,3.1264,3.1589,3.0938,0.06510000000000016,2.1042,1899.0,735.277
000519.SZ,19950124,3.0938,3.1345,3.0775,3.0938,3.0775,0.01629999999999976,0.5297,1507.0,574.345
000519.SZ,19950123,3.0938,3.1996,3.0287,3.0775,3.1671,-0.0895999999999999,-2.8291,2053.0,774.034
000519.SZ,19950120,3.1996,3.2566,3.0531,3.1671,3.1996,-0.032500000000000195,-1.0158,2506.0,963.687
000519.SZ,19950119,3.3462,3.3543,3.1996,3.1996,3.3625,-0.1628999999999996,-4.8446,3064.0,1227.506
000519.SZ,19950118,3.3055,3.3706,3.2648,3.3625,3.3055,0.05699999999999994,1.7244,2951.0,1203.672
000519.SZ,19950117,3.2973,3.4194,3.1833,3.3055,3.566,-0.26049999999999995,-7.3051,6578.0,2656.436
000519.SZ,19950116,3.6861,3.6861,3.5142,3.5665,3.716,-0.1495000000000002,-4.0231,8818.0,4215.097
000519.SZ,19950113,3.8506,3.8506,3.6861,3.716,3.888,-0.1719999999999997,-4.4239,5668.0,2830.555
000519.SZ,19950112,3.9628,3.9777,3.888,3.888,3.9628,-0.0748000000000002,-1.8876,2217.0,1162.024
000519.SZ,19950111,3.888,4.06,3.888,3.9628,3.9553,0.007500000000000284,0.1896,2376.0,1256.325
000519.SZ,19950110,4.1198,4.1198,3.888,3.9553,4.1497,-0.19440000000000035,-4.6847,3136.0,1662.906
000519.SZ,19950109,4.2618,4.2618,4.1123,4.1497,4.2319,-0.08220000000000027,-1.9424,1475.0,823.909
000519.SZ,19950106,4.2618,4.2992,4.1946,4.2319,4.2618,-0.029899999999999594,-0.7016,1533.0,867.441
000519.SZ,19950105,4.3366,4.4114,4.2469,4.2618,4.374,-0.11219999999999963,-2.5652,2490.0,1439.826
000519.SZ,19950104,4.0749,4.3964,4.0749,4.374,4.2843,0.08969999999999967,2.0937,2079.0,1187.422
000519.SZ,19950103,4.3516,4.3516,4.045,4.2843,4.3516,-0.06730000000000036,-1.5466,1217.0,688.367
000519.SZ,19941230,4.1796,4.4787,4.1796,4.3516,4.1796,0.1720000000000006,4.1152,6794.0,3969.157
000519.SZ,19941229,4.2095,4.2469,4.1198,4.1796,4.1721,0.007499999999999396,0.1798,2295.0,1282.314
000519.SZ,19941228,4.1871,4.2469,4.1123,4.1721,4.1871,-0.01499999999999968,-0.3582,1526.0,849.841
000519.SZ,19941227,4.2245,4.3067,4.1497,4.1871,4.2469,-0.059800000000000075,-1.4081,1263.0,709.861
000519.SZ,19941226,4.2992,4.374,4.217,4.2469,4.3217,-0.07479999999999976,-1.7308,1722.0,980.888
000519.SZ,19941223,4.4114,4.4263,4.2918,4.3217,4.4114,-0.08970000000000056,-2.0334,2962.0,1726.876
000519.SZ,19941222,4.4862,4.4862,4.2618,4.4114,4.4787,-0.06729999999999947,-1.5027,5104.0,2962.338
000519.SZ,19941221,4.5983,4.6357,4.4338,4.4787,4.5759,-0.09719999999999995,-2.1242,6254.0,3815.657
